servername;instancesnum;databases;instancenames;productname
SVWSQLTAL02A.degroof.be;1;9;MSSQLSERVER;Microsoft SQL Server 2014
SVWSQLTAL02P.degroof.be;1;9;MSSQLSERVER;Microsoft SQL Server 2014
SVWSQLTAL02T.degroof.be;1;11;MSSQLSERVER;Microsoft SQL Server 2014
SVWSQLVAR001P.degroof.be;1;8;MSSQLSERVER;Microsoft SQL Server 2016
SVWSQLVCENT01P.degroof.be;1;2;MSSQLSERVER;Microsoft SQL Server 2012
svwsqlvcent01t.degroof.be;1;2;MSSQLSERVER;Microsoft SQL Server 2012
SVWTMCM01T.degroof.be;1;1;SQLEXPRESS;Microsoft SQL Server 2016
SVWVARONIS02T.degroof.be;1;8;VARONIS;Microsoft SQL Server 2014
SVWVMWADM01P.degroof.be;1;2;VEEAMSQL2012;Microsoft SQL Server 2012
SVWVMWADM01P.degroof.be;1;1;SQLEXPRESSOME;Microsoft SQL Server 2014
SVWVMWADM01P.degroof.be;1;1;VEEAMSQL2016;Microsoft SQL Server 2016
SVWVMWADM02T.degroof.be;1;2;VEEAMSQL2012;Microsoft SQL Server 2012
SVWXEROX01P.degroof.be;1;0;XEROXCWW;Microsoft SQL Server 2008
